"Customizable Options","Customizable Options"
"Image","Image"
"Description","Description"
"Upload","Upload"
"Direct Upload","Direct Upload"
"Select from Gallery","Select from Gallery"
"Image path","Image path"
"Image filename","Image filename"
"Option description (optional)","Option description (optional)"
"Use gallery for organized assets or direct upload for quick images (M1.9 compatible)","Use gallery for organized assets or direct upload for quick images (M1.9 compatible)"
"Image selected from gallery!","Image selected from gallery!"
"Success","Success"
"Error","Error"
"Image uploaded successfully!","Image uploaded successfully!"
"Upload failed","Upload failed"
"An error occurred during upload","An error occurred during upload"
"More Info","More Info"
"Close","Close"
"Option Value Image","Option Value Image"
"Option Value Description","Option Value Description"